generation,best_fitness,best_distance,best_time,avg_fitness,diversity,Variant
53,0.002504551631758301,137.58222921336608,327.1135415077209,0.0021184111462575,0.73,GAAM-TS
54,0.0025278501950558945,135.58222921336608,325.0135415077209,0.002121871007431,0.74,GAAM-TS
55,0.002556282552187825,133.58222921336608,322.0135415077209,0.0021011493734344,0.76,GAAM-TS
56,0.0025724395122842525,132.32645474296152,320.5120062828064,0.0021106604718053,0.75,GAAM-TS
57,0.002583706425110955,131.7039416913567,319.1711688041687,0.0021324398115803,0.67,GAAM-TS
58,0.002597107544410512,130.3814760910238,318.3278288841248,0.0021252320850351,0.73,GAAM-TS
59,0.002609305509052329,129.3814760910238,317.3278288841248,0.0021490159045274,0.76,GAAM-TS
60,0.0026147636828784127,129.3814760910238,316.3278288841248,0.0021479354256637,0.76,GAAM-TS
61,0.002627128459031289,128.3814760910238,315.3278288841248,0.0021395175533901,0.79,GAAM-TS
62,0.002632661531056277,128.3814760910238,314.3278288841248,0.0021297527316009,0.83,GAAM-TS
63,0.0026382179590012404,128.3814760910238,313.3278288841248,0.002128401325484,0.83,GAAM-TS
64,0.0026508060866035537,127.3814760910238,312.3278288841248,0.0021146400481092,0.86,GAAM-TS
65,0.002674914396438511,126.3814760910238,309.3278288841248,0.0021225747175472,0.82,GAAM-TS
66,0.002680650805583856,126.3814760910238,308.3278288841248,0.0021555048374621,0.81,GAAM-TS
67,0.0026864118713014026,126.3814760910238,307.3278288841248,0.0021507056794067,0.84,GAAM-TS
68,0.00269364811958697,125.3814760910238,307.3278288841248,0.0021253353243086,0.81,GAAM-TS
69,0.002706772084350259,124.3814760910238,306.3278288841248,0.0021279000385713,0.77,GAAM-TS
70,0.0027126460961324453,124.3814760910238,305.3278288841248,0.0020993010481947,0.81,GAAM-TS
71,0.0027259562945938093,123.3814760910238,304.3278288841248,0.002142040858884,0.73,GAAM-TS
72,0.0027319139570317766,123.3814760910238,303.3278288841248,0.0021608511480223,0.72,GAAM-TS
73,0.0027319139570317766,123.3814760910238,303.3278288841248,0.002180520219813,0.68,GAAM-TS
74,0.00274541438159221,122.3814760910238,302.3278288841248,0.0021676603409003,0.7,GAAM-TS
75,0.002751457494372522,122.3814760910238,301.3278288841248,0.0021687569278315,0.74,GAAM-TS
76,0.0027575272696300905,122.3814760910238,300.3278288841248,0.0021636709361658,0.74,GAAM-TS
77,0.002758360915226667,122.3814760910238,300.1908288841248,0.0021759977279025,0.68,GAAM-TS
78,0.002758360915226667,122.3814760910238,300.1908288841248,0.0021224200273349,0.81,GAAM-TS
79,0.002758360915226667,122.3814760910238,300.1908288841248,0.0021535434940059,0.74,GAAM-TS
80,0.002758360915226667,122.3814760910238,300.1908288841248,0.0021447455054062,0.73,GAAM-TS
81,0.002758360915226667,122.3814760910238,300.1908288841248,0.0021469881106152,0.73,GAAM-TS
82,0.002758360915226667,122.3814760910238,300.1908288841248,0.0021112496452289,0.75,GAAM-TS
83,0.002758360915226667,122.3814760910238,300.1908288841248,0.0021525787944464,0.69,GAAM-TS
84,0.0027589697339691055,122.3814760910238,300.0908288841248,0.0021581620123536,0.77,GAAM-TS
85,0.0027589697339691055,122.3814760910238,300.0908288841248,0.0021587600633349,0.76,GAAM-TS
86,0.0027589697339691055,122.3814760910238,300.0908288841248,0.0021429253036485,0.75,GAAM-TS
87,0.0027589697339691055,122.3814760910238,300.0908288841248,0.0021194150438999,0.78,GAAM-TS
88,0.0027589697339691055,122.3814760910238,300.0908288841248,0.0021017775175968,0.75,GAAM-TS
89,0.0027589697339691055,122.3814760910238,300.0908288841248,0.0020905413139523,0.79,GAAM-TS
90,0.0027589697339691055,122.3814760910238,300.0908288841248,0.0021265602342019,0.79,GAAM-TS
91,0.0027589697339691055,122.3814760910238,300.0908288841248,0.0021732429829888,0.69,GAAM-TS
92,0.0027589697339691055,122.3814760910238,300.0908288841248,0.0021947291954841,0.73,GAAM-TS
93,0.0027589697339691055,122.3814760910238,300.0908288841248,0.0021886570113697,0.68,GAAM-TS
94,0.0027589697339691055,122.3814760910238,300.0908288841248,0.0021965684393224,0.66,GAAM-TS
95,0.0027589697339691055,122.3814760910238,300.0908288841248,0.0021866294967956,0.63,GAAM-TS
96,0.0027589697339691055,122.3814760910238,300.0908288841248,0.002168338993847,0.75,GAAM-TS
97,0.0027589697339691055,122.3814760910238,300.0908288841248,0.0021405162776534,0.73,GAAM-TS
98,0.0027589697339691055,122.3814760910238,300.0908288841248,0.0021724963449881,0.66,GAAM-TS
99,0.0027589697339691055,122.3814760910238,300.0908288841248,0.0021600274766672,0.73,GAAM-TS
